model_type,model,train,test,ROC_AUC
non_tree_base_model,LogisticRegression,0.7214285714285715,0.7133333333333334,0.7539153439153439
non_tree_base_model,KNN,0.6971428571428572,0.6966666666666667,0.6630952380952381
non_tree_base_model,LDA,0.7171428571428573,0.71,0.7507936507936509
non_tree_base_model,QDA,0.6871428571428572,0.6966666666666667,0.7338095238095239
non_tree_base_model,SVM,0.7242857142857144,0.74,0.7487301587301587
non_tree_base_model,Voting,0.79,0.7266666666666667,0.7476719576719577
tree_base_model,Bagging,0.7585714285714286,0.7566666666666667,0.7564285714285715
tree_base_model,RandomForest,0.7614285714285713,0.7466666666666667,0.7649470899470899
tree_base_model,GradientBoosting,0.7557142857142857,0.72,0.7706878306878306
tree_base_model,AdaBoost,0.7385714285714287,0.7366666666666667,0.7886243386243386
tree_base_model,XGB,0.7642857142857142,0.7533333333333333,0.7675132275132276
tree_base_model,LGBM,0.7657142857142857,0.7233333333333334,0.760899470899471
tree_base_model,CatBoost,0.76,0.7433333333333333,0.773968253968254
tree_base_model,Voting,0.9714285714285714,0.74,0.7805291005291005
