iter	Passed	Remaining
0	1	315
1	3	319
2	5	329
3	6	322
4	8	320
5	9	319
6	11	320
7	13	319
8	14	317
9	16	314
10	18	312
11	19	311
12	21	310
13	23	308
14	25	308
15	26	306
16	28	305
17	30	303
18	31	302
19	33	301
20	35	300
21	37	299
22	38	297
23	40	295
24	42	294
25	43	292
26	45	291
27	47	289
28	48	288
29	50	286
30	52	285
31	54	284
32	55	281
33	57	279
34	59	278
35	60	277
36	62	275
37	64	274
38	66	273
39	67	271
40	69	269
41	71	267
42	72	265
43	74	262
44	75	260
45	77	258
46	78	256
47	80	254
48	81	251
49	83	250
50	84	247
51	86	245
52	87	243
53	89	241
54	90	238
55	92	236
56	93	234
57	94	232
58	96	230
59	98	228
60	99	227
61	101	225
62	102	223
63	104	221
64	105	219
65	107	217
66	108	216
67	110	214
68	111	212
69	113	210
70	115	209
71	116	207
72	118	205
73	120	204
74	122	203
75	123	202
76	125	200
77	127	199
78	129	197
79	130	196
80	132	194
81	133	192
82	135	190
83	136	189
84	138	187
85	140	185
86	141	183
87	143	182
88	144	180
89	146	178
90	147	177
91	149	175
92	150	173
93	152	171
94	154	170
95	155	168
96	157	167
97	158	165
98	160	163
99	161	161
100	163	160
101	164	158
102	166	156
103	167	155
104	169	153
105	171	151
106	172	150
107	174	148
108	175	146
109	177	145
110	178	143
111	180	141
112	181	139
113	183	138
114	185	136
115	186	135
116	188	133
117	189	132
118	191	130
119	193	128
120	194	127
121	196	125
122	197	123
123	199	122
124	200	120
125	202	118
126	203	117
127	205	115
128	206	113
129	208	112
130	210	110
131	211	109
132	213	107
133	214	105
134	216	104
135	218	102
136	219	101
137	221	99
138	222	97
139	224	96
140	226	94
141	227	93
142	229	91
143	231	89
144	232	88
145	234	86
146	236	85
147	237	83
148	239	81
149	240	80
150	242	78
151	244	77
152	245	75
153	247	73
154	248	72
155	250	70
156	251	68
157	253	67
158	254	65
159	256	64
160	257	62
161	259	60
162	261	59
163	262	57
164	264	56
165	265	54
166	267	52
167	268	51
168	270	49
169	271	47
170	273	46
171	274	44
172	276	43
173	278	41
174	279	39
175	281	38
176	282	36
177	284	35
178	285	33
179	287	31
180	288	30
181	290	28
182	291	27
183	293	25
184	295	23
185	296	22
186	298	20
187	299	19
188	301	17
189	302	15
190	304	14
191	305	12
192	307	11
193	308	9
194	310	7
195	311	6
196	313	4
197	315	3
198	316	1
199	318	0
